meta,hid_num,epochs,worker,time_started,time_completed,duration_seconds,path
1.0,4096,20,6,2021-11-21 09:15:36,2021-11-21 10:14:15,3519.0,./results/1.0_4096_20
0.0,1024,40,6,2021-11-21 10:14:15,2021-11-21 12:12:26,7091.0,./results/0.0_1024_40
0.5,4096,40,6,2021-11-21 12:12:26,2021-11-21 14:10:53,7107.0,./results/0.5_4096_40
1.35,1024,40,6,2021-11-21 14:10:53,2021-11-21 16:10:07,7154.0,./results/1.35_1024_40
2.0,4096,20,6,2021-11-21 16:10:07,2021-11-21 17:10:08,3601.0,./results/2.0_4096_20
0.0,1024,10,6,2021-11-21 17:10:08,2021-11-21 17:39:37,1769.0,./results/0.0_1024_10
0.5,4096,10,6,2021-11-21 17:39:37,2021-11-21 18:09:24,1787.0,./results/0.5_4096_10
1.0,1024,10,6,2021-11-21 18:09:24,2021-11-21 18:38:55,1771.0,./results/1.0_1024_10
1.35,4096,10,6,2021-11-21 18:38:55,2021-11-21 19:08:31,1776.0,./results/1.35_4096_10
2.0,1024,10,6,2021-11-21 19:08:31,2021-11-21 19:38:01,1770.0,./results/2.0_1024_10
3.0,4096,10,6,2021-11-21 19:38:01,2021-11-21 20:07:40,1779.0,./results/3.0_4096_10
1.5,1024,20,6,2021-11-21 20:07:40,2021-11-21 21:07:00,3560.0,./results/1.5_1024_20
3.0,4096,20,6,2021-11-21 21:07:00,2021-11-21 22:07:10,3610.0,./results/3.0_4096_20
1.5,1024,40,6,2021-11-21 22:07:10,2021-11-22 00:05:50,7120.0,./results/1.5_1024_40
3.0,4096,40,6,2021-11-22 00:05:50,2021-11-22 02:04:14,7104.0,./results/3.0_4096_40
0.5,1024,60,6,2021-11-22 02:04:14,2021-11-22 05:03:00,10726.0,./results/0.5_1024_60
0.7,4096,60,6,2021-11-22 05:03:00,2021-11-22 08:06:50,11030.0,./results/0.7_4096_60
1.35,1024,60,6,2021-11-22 08:06:50,2021-11-22 11:06:30,10780.0,./results/1.35_1024_60
1.5,4096,60,6,2021-11-22 11:06:30,2021-11-22 14:04:26,10676.0,./results/1.5_4096_60
